sequence_of_nodes,cost
"-1,962,409,984,1984,1962,1409,-2",2364.5145340589374
"-1,244,930,723,1723,1244,1930,-2",2608.7800607873874
"-1,309,429,219,1219,1429,1309,-2",1938.44411997659
"-1,732,385,527,1732,1385,1527,-2",1771.1362412703218
"-1,670,128,840,1128,1840,1670,-2",1153.0028804906412
"-1,953,206,265,1265,1206,1953,-2",1335.0555005933816
"-1,146,24,763,1024,1146,1763,-2",1491.9026895281497
"-1,227,613,959,1613,1227,1959,-2",965.2690081601797
"-1,769,801,998,1769,1801,1998,-2",1509.1823293320208
"-1,610,993,567,1567,1993,1610,-2",1059.3347535583653
"-1,174,63,473,1473,1174,1063,-2",1095.5462630341644
"-1,499,420,707,1707,1499,1420,-2",1962.8103849849401
"-1,671,976,753,1753,1671,1976,-2",898.3789414356287
"-1,631,931,722,1631,1931,1722,-2",2242.3798786522566
"-1,758,807,873,1807,1758,1873,-2",2146.2875248882374
"-1,991,729,899,1899,1991,1729,-2",1987.6194614638696
"-1,687,181,802,1687,1802,1181,-2",2135.582026066892
"-1,192,810,442,1442,1192,1810,-2",1837.9802364645566
"-1,712,796,748,1712,1796,1748,-2",1568.4678040727717
"-1,438,237,614,1237,1438,1614,-2",1816.463084611006
"-1,782,198,700,1700,1782,1198,-2",1514.2887048310536
"-1,184,591,863,1591,1863,1184,-2",1217.0495357545701
"-1,929,247,952,1929,1247,1952,-2",1644.299829852563
"-1,718,600,588,1718,1588,1600,-2",1668.1862877474691
"-1,455,46,637,1637,1455,1046,-2",2450.628959923428
"-1,677,343,557,1343,1677,1557,-2",2783.884008488295
"-1,880,173,69,1173,1880,1069,-2",2527.9068427598854
"-1,640,815,508,1815,1508,1640,-2",1570.164486039287
"-1,93,11,488,1488,1011,1093,-2",1817.8584128807693
"-1,28,116,672,1116,1672,1028,-2",1668.2825106311059
"-1,957,464,97,1097,1464,1957,-2",2621.1322390851806
"-1,346,714,835,1835,1714,1346,-2",3000.9760969734434
"-1,172,920,293,1172,1920,1293,-2",1730.1003225831166
"-1,754,961,137,1754,1137,1961,-2",1436.8111729185732
"-1,273,276,862,1276,1862,1273,-2",2840.7386613635913
"-1,77,108,776,1108,1077,1776,-2",2603.468580629168
"-1,560,927,895,1895,1560,1927,-2",2846.2937165915528
"-1,963,806,599,1599,1806,1963,-2",3527.438494614362
"-1,608,450,702,1608,1702,1450,-2",2217.611892915816
"-1,396,82,122,1082,1122,1396,-2",3034.2100117972227
"-1,379,413,885,1885,1413,1379,-2",1791.0067063618587
"-1,71,449,20,1020,1071,1449,-2",1549.2870039039904
"-1,612,948,887,1612,1887,1948,-2",1412.0551690554073
"-1,544,502,489,1489,1502,1544,-2",1902.4288596983747
"-1,752,956,196,1956,1196,1752,-2",1408.4367259321211
"-1,470,788,868,1868,1470,1788,-2",1009.1526824163027
"-1,486,928,340,1340,1486,1928,-2",2020.0855267594413
"-1,437,691,955,1691,1437,1955,-2",1714.452999043434
"-1,940,395,919,1395,1940,1919,-2",831.9775310297014
